    cf,1805,1
    df,1607,2
    ff,1351,3
    gf,1203,4
    af,1072,5
    cf1,902,6
    df1,803,7
    ff1,675,8
    gf1,601,9
    af1,536,10
    c0,3823,1
    d0,3214,2
    e0,3034,3
    f0,2834,4
    g0,2550,5
    a0,2273,6
    b0,2024,7
    c,1912,8
    d,1703,9
    e,1517,10
    f,1431,11
    g,1276,12
    a,1136,1
    b,1012,2
    c1,956,3
    d1,851,4
    e1,758,5
    f1,715,6
    g1,637,7
    a1,568,8
    b1,506,9
    c2,478,10
    d2,426,11
    e2,379,12
    f2,358,1
    g2,319,2
    a2,284,3
    b2,253,4
    af0,2144,5